flight_id,departure_airport,arrival_airport,model,flight_time
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136119,AAQ,SVO,Boeing 737-300,101.0
136120,AAQ,SVO,Boeing 737-300,99.0
136120,AAQ,SVO,Boeing 737-300,99.0
136120,AAQ,SVO,Boeing 737-300,99.0
136120,AAQ,SVO,Boeing 737-300,99.0
136120,AAQ,SVO,Boeing 737-300,99.0
136120,AAQ,SVO,Boeing 737-300,99.0
136120,AAQ,SVO,Boeing 737-300,99.0
136120,AAQ,SVO,Boeing 737-300,99.0
136120,AAQ,SVO,Boeing 737-300,99.0
136120,AAQ,SVO,Boeing 737-300,99.0
136120,AAQ,SVO,Boeing 737-300,99.0
136120,AAQ,SVO,Boeing 737-300,99.0
136120,AAQ,SVO,Boeing 737-300,99.0
